,latitude,longitude,cluster_label
0,36.146552196078424,-119.5608072941177,0
1,-28.3382736,26.689762000000005,1
2,39.212700891891906,-77.22967018918919,2
3,21.769866292134836,-78.45835526404494,3
4,31.150069217391305,-97.52900513586955,4
5,46.190946499999995,-92.92826811538463,5
6,42.0054538540146,-71.99248902919709,6
7,33.69565245454545,-111.50913845454545,7
8,40.64337062676056,-88.71264991549295,8
9,38.43076519047619,-94.29211883333333,9
10,33.582304782608695,-117.44163608695655,10
11,42.05387163333334,-83.43429889999999,11
12,38.10575462962962,-122.11649951851851,12
